"NUM_OC","FECHA_CIERRE_TAREA","TIPO_SLA","ANS2","mes"
"2949275",2021-02-18 21:00:30,"SLA8","Cumple",2021-02-01
"2949645",2021-02-19 17:52:23,"SLA8","Cumple",2021-02-01
"2949722",2021-02-19 12:21:20,"SLA8","Cumple",2021-02-01
"2949736",2021-02-19 14:40:52,"SLA8","Cumple",2021-02-01
"2949929",2021-02-19 12:59:13,"SLA8","Cumple",2021-02-01
"2949935",2021-02-19 13:03:49,"SLA8","Cumple",2021-02-01
"2950196",2021-02-19 16:11:30,"SLA8","Cumple",2021-02-01
"2950298",2021-02-19 14:43:46,"SLA8","Cumple",2021-02-01
"2950311",2021-02-19 14:39:05,"SLA8","Cumple",2021-02-01
"2950348",2021-04-23 16:20:54,"SLA8","Cumple",2021-04-01
"2950357",2021-02-19 15:09:35,"SLA8","Cumple",2021-02-01
"2950472",2021-02-19 15:51:15,"SLA8","Cumple",2021-02-01
"2950532",2021-02-19 16:02:08,"SLA8","Cumple",2021-02-01
"2950571",2021-02-19 16:30:10,"SLA8","Cumple",2021-02-01
"2950672",2021-02-19 18:03:44,"SLA8","Cumple",2021-02-01
"2950716",2021-02-20 09:44:59,"SLA8","Cumple",2021-02-01
"2950753",2021-02-19 18:48:13,"SLA8","Cumple",2021-02-01
"2950755",2021-02-19 18:54:23,"SLA8","Cumple",2021-02-01
"2950780",2021-02-19 20:12:14,"SLA8","Cumple",2021-02-01
"2950783",2021-02-19 19:41:13,"SLA8","Cumple",2021-02-01
"2950784",2021-02-19 19:53:58,"SLA8","Cumple",2021-02-01
"2950805",2021-02-19 20:56:18,"SLA8","Cumple",2021-02-01
"2950812",2021-02-19 21:14:17,"SLA8","Cumple",2021-02-01
"2951475",2021-02-22 08:38:22,"SLA8","Cumple",2021-02-01
"2951527",2021-02-22 08:46:56,"SLA8","Cumple",2021-02-01
"2951528",2021-02-22 08:49:26,"SLA8","Cumple",2021-02-01
"2951542",2021-02-22 09:20:07,"SLA8","Cumple",2021-02-01
"2951567",2021-02-22 09:01:20,"SLA8","Cumple",2021-02-01
"2951590",2021-02-22 09:05:32,"SLA8","Cumple",2021-02-01
"2951670",2021-02-22 13:43:47,"SLA8","Cumple",2021-02-01
"2951683",2021-02-22 09:39:37,"SLA8","Cumple",2021-02-01
"2951702",2021-02-22 11:00:42,"SLA8","Cumple",2021-02-01
"2951821",2021-02-23 12:25:42,"SLA8","Cumple",2021-02-01
"2951873",2021-02-22 11:05:50,"SLA8","Cumple",2021-02-01
"2951899",2021-02-22 11:21:19,"SLA8","Cumple",2021-02-01
"2951915",2021-03-11 12:43:15,"SLA8","Incumple",2021-03-01
"2952318",2021-02-23 13:37:45,"SLA8","Cumple",2021-02-01
"2952347",2021-02-22 16:01:19,"SLA8","Cumple",2021-02-01
"2952348",2021-02-22 16:18:54,"SLA8","Cumple",2021-02-01
"2952417",2021-02-22 16:07:58,"SLA8","Cumple",2021-02-01
"2952505",2021-03-11 16:52:00,"SLA8","Cumple",2021-03-01
"2952555",2021-02-22 17:09:04,"SLA8","Cumple",2021-02-01
"2952556",2021-02-22 17:30:44,"SLA8","Cumple",2021-02-01
"2952563",2021-02-22 19:57:52,"SLA8","Cumple",2021-02-01
"2952592",2021-02-22 17:20:48,"SLA8","Cumple",2021-02-01
"2952675",2021-02-22 18:17:46,"SLA8","Cumple",2021-02-01
"2952711",2021-02-22 18:23:34,"SLA8","Cumple",2021-02-01
"2952717",2021-02-22 18:47:21,"SLA8","Cumple",2021-02-01
"2952773",2021-02-22 19:06:53,"SLA8","Cumple",2021-02-01
"2952782",2021-02-22 21:10:25,"SLA8","Cumple",2021-02-01
"2953028",2021-02-23 09:13:13,"SLA8","Cumple",2021-02-01
"2953241",2021-02-23 14:48:39,"SLA8","Cumple",2021-02-01
"2953296",2021-02-23 09:21:43,"SLA8","Cumple",2021-02-01
"2953372",2021-02-23 17:14:54,"SLA8","Cumple",2021-02-01
"2953379",2021-02-23 10:04:14,"SLA8","Cumple",2021-02-01
"2953470",2021-02-24 09:37:07,"SLA8","Cumple",2021-02-01
"2953486",2021-02-23 10:40:33,"SLA8","Cumple",2021-02-01
"2953493",2021-02-23 10:44:19,"SLA8","Cumple",2021-02-01
"2953580",2021-02-23 11:57:39,"SLA8","Cumple",2021-02-01
"2953725",2021-02-23 11:59:43,"SLA8","Cumple",2021-02-01
"2953869",2021-02-23 13:48:43,"SLA8","Cumple",2021-02-01
"2954007",2021-02-23 15:22:54,"SLA8","Cumple",2021-02-01
"2954083",2021-02-23 14:53:25,"SLA8","Cumple",2021-02-01
"2954414",2021-02-23 16:02:48,"SLA8","Cumple",2021-02-01
"2954456",2021-02-23 16:23:32,"SLA8","Cumple",2021-02-01
"2954572",2021-02-23 16:54:13,"SLA8","Cumple",2021-02-01
"2954614",2021-04-23 15:44:09,"SLA8","Cumple",2021-04-01
"2954658",2021-02-24 11:19:59,"SLA8","Cumple",2021-02-01
"2954703",2021-02-23 17:56:16,"SLA8","Cumple",2021-02-01
"2954732",2021-02-23 18:00:05,"SLA8","Cumple",2021-02-01
"2954811",2021-02-23 18:36:14,"SLA8","Cumple",2021-02-01
"2955216",2021-02-24 10:44:47,"SLA8","Cumple",2021-02-01
"2955255",2021-02-24 12:25:15,"SLA8","Cumple",2021-02-01
"2955257",2021-02-24 12:34:05,"SLA8","Cumple",2021-02-01
"2955259",2021-02-24 12:35:17,"SLA8","Cumple",2021-02-01
"2955297",2021-02-24 12:37:40,"SLA8","Cumple",2021-02-01
"2955556",2021-02-24 11:20:30,"SLA8","Cumple",2021-02-01
"2955669",2021-02-24 13:38:52,"SLA8","Cumple",2021-02-01
"2955821",2021-02-24 15:51:47,"SLA8","Cumple",2021-02-01
"2956294",2021-02-24 17:54:53,"SLA8","Cumple",2021-02-01
"2956697",2021-02-25 09:05:18,"SLA8","Cumple",2021-02-01
"2956817",2021-04-15 11:23:14,"SLA8","Cumple",2021-04-01
"2957003",2021-02-25 12:14:09,"SLA8","Cumple",2021-02-01
"2957266",2021-02-26 09:57:53,"SLA8","Cumple",2021-02-01
"2957477",2021-02-25 22:46:21,"SLA8","Cumple",2021-02-01
"2958488",2021-04-23 15:03:38,"SLA8","Cumple",2021-04-01
"2959068",2021-03-02 14:26:48,"SLA8","Cumple",2021-03-01
"2959187",2021-02-26 15:14:20,"SLA8","Cumple",2021-02-01
"2959604",2021-03-02 14:24:43,"SLA8","Cumple",2021-03-01
"2961379",2021-03-01 09:28:10,"SLA8","Cumple",2021-03-01
"2961383",2021-03-01 09:38:49,"SLA8","Cumple",2021-03-01
"2961446",2021-03-01 12:01:11,"SLA8","Cumple",2021-03-01
"2961716",2021-03-01 13:09:15,"SLA8","Cumple",2021-03-01
"2962067",2021-03-01 14:41:11,"SLA8","Cumple",2021-03-01
"2962379",2021-03-01 16:24:00,"SLA8","Cumple",2021-03-01
"2962431",2021-03-01 18:22:46,"SLA8","Cumple",2021-03-01
"2963106",2021-03-02 12:24:54,"SLA8","Cumple",2021-03-01
"2963206",2021-03-02 16:57:52,"SLA8","Cumple",2021-03-01
"2963804",2021-03-02 17:20:41,"SLA8","Cumple",2021-03-01
"2964194",2021-03-02 17:18:35,"SLA8","Cumple",2021-03-01
"2964590",2021-04-23 16:15:52,"SLA8","Cumple",2021-04-01
"2964898",2021-03-03 19:46:31,"SLA8","Cumple",2021-03-01
"2964932",2021-03-03 11:12:20,"SLA8","Cumple",2021-03-01
"2964949",2021-03-03 19:43:56,"SLA8","Cumple",2021-03-01
"2965160",2021-03-03 18:43:54,"SLA8","Cumple",2021-03-01
"2965456",2021-03-04 10:41:06,"SLA8","Cumple",2021-03-01
"2965897",2021-03-05 18:05:36,"SLA8","Cumple",2021-03-01
"2966010",2021-03-03 15:52:51,"SLA8","Cumple",2021-03-01
"2966231",2021-03-03 17:51:53,"SLA8","Cumple",2021-03-01
"2966461",2021-03-05 18:45:43,"SLA8","Cumple",2021-03-01
"2966490",2021-03-04 08:53:39,"SLA8","Cumple",2021-03-01
"2966689",2021-03-04 08:18:55,"SLA8","Cumple",2021-03-01
"2966764",2021-03-04 17:03:33,"SLA8","Cumple",2021-03-01
